,mouvement,auteurs
0,hagiographie,"['https://fr.wikipedia.org/wiki/Jean_Moschus', 'https://fr.wikipedia.org/wiki/Jacques_de_Voragine', 'https://fr.wikipedia.org/wiki/Paul_Gu%C3%A9rin_(religieux)', 'https://fr.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_des_Bollandistes']"
1,troubadour,"['https://fr.wikipedia.org/wiki/Arnaut-Guilhem_de_Marsan', 'https://fr.wikipedia.org/wiki/Raimon_d%27Alayrac', 'https://fr.wikipedia.org/wiki/Na_Alamanda', 'https://fr.wikipedia.org/wiki/Chardon_de_Croisilles', 'https://fr.wikipedia.org/wiki/Margot_de_Maroie', 'https://fr.wikipedia.org/wiki/Roger-Bernard_III_de_Foix', 'https://fr.wikipedia.org/wiki/Raymond_VI_de_Toulouse', 'https://fr.wikipedia.org/wiki/Peire_Vidal', 'https://fr.wikipedia.org/wiki/Lombarda', 'https://fr.wikipedia.org/wiki/Guilhem_Figueira', 'https://fr.wikipedia.org/wiki/Aicart_del_Fossat', 'https://fr.wikipedia.org/wiki/Arnaud_d%27Alaman', 'https://fr.wikipedia.org/wiki/Aimeric_de_Peguilhan', 'https://fr.wikipedia.org/wiki/Rigaut_de_Barbezieux', 'https://fr.wikipedia.org/wiki/Rainaut_de_Pons', 'https://fr.wikipedia.org/wiki/Jaufr%C3%A9_Rudel']"
2,fabliau,"['https://fr.wikipedia.org/wiki/Jean_Bodel', 'https://fr.wikipedia.org/wiki/Hugues_III_d%27Oisy', 'https://fr.wikipedia.org/wiki/Gautier_de_Coincy']"
3,roman courtois,['https://fr.wikipedia.org/wiki/Chr%C3%A9tien_de_Troyes']
4,rhetoriqueurs,"['/wiki/Guillaume_de_Machaut', '/wiki/Famille_Robertet#Jean_(Jehan)_Robertet_(1405-1492)', '/wiki/Georges_Chastelain', '/wiki/Henri_Baude', '/wiki/Jean_Meschinot', '/wiki/Olivier_de_la_Marche', '/wiki/Jean_Molinet', '/wiki/Octavien_de_Saint-Gelais', '/wiki/Jean_Marot_(po%C3%A8te)', '/wiki/Guillaume_Dubois_(Cr%C3%A9tin)', '/wiki/Andr%C3%A9_de_La_Vigne', '/wiki/Jean_Lemaire_de_Belges', '/wiki/Pierre_Gringore', '/wiki/Jean_Bouchet']"
5,humanisme,"['https://fr.wikipedia.org/wiki/P%C3%A9trarque', 'https://fr.wikipedia.org/wiki/Laurent_Valla', 'https://fr.wikipedia.org/wiki/Ricordano_Malispini', 'https://fr.wikipedia.org/wiki/Dino_Compagni', 'https://fr.wikipedia.org/wiki/Filippo_Villani', 'https://fr.wikipedia.org/wiki/Martino_Canal', 'https://fr.wikipedia.org/wiki/Andrea_Dandolo', 'https://fr.wikipedia.org/wiki/Guido_Cavalcanti', 'https://fr.wikipedia.org/wiki/Guido_Guinizelli', 'https://fr.wikipedia.org/wiki/Cino_da_Pistoia', 'https://fr.wikipedia.org/wiki/Coluccio_Salutati', 'https://fr.wikipedia.org/wiki/Laurent_Valla', 'https://fr.wikipedia.org/wiki/Th%C3%A9odore_Gaza', 'https://fr.wikipedia.org/wiki/Jean_Argyropoulos', 'https://fr.wikipedia.org/wiki/Giovanni_Aurispa', 'https://fr.wikipedia.org/wiki/G%C3%A9miste_Pl%C3%A9thon', 'https://fr.wikipedia.org/wiki/Cosme_de_M%C3%A9dicis', 'https://fr.wikipedia.org/wiki/Marsile_Ficin', 'https://fr.wikipedia.org/wiki/Michel_de_Montaigne', 'https://fr.wikipedia.org/wiki/%C3%89rasme']"
6,pleiade,"['https://fr.wikipedia.org/wiki/Pierre_de_Ronsard', 'https://fr.wikipedia.org/wiki/Joachim_du_Bellay', 'https://fr.wikipedia.org/wiki/Jean-Antoine_de_Ba%C3%AFf', 'https://fr.wikipedia.org/wiki/%C3%89tienne_Jodelle', 'https://fr.wikipedia.org/wiki/R%C3%A9my_Belleau', 'https://fr.wikipedia.org/wiki/Jean_Dorat', 'https://fr.wikipedia.org/wiki/Jacques_Peletier', 'https://fr.wikipedia.org/wiki/Pontus_de_Tyard']"
7,picaresque,"['https://fr.wikipedia.org/wiki/Al-Hamadhani', 'https://fr.wikipedia.org/wiki/Mateo_Alem%C3%A1n', 'https://fr.wikipedia.org/wiki/Pechon_de_Ruby', 'https://fr.wikipedia.org/wiki/Vicente_Espinel', 'https://fr.wikipedia.org/wiki/Francisco_de_Quevedo', 'https://fr.wikipedia.org/wiki/Luis_V%C3%A9lez_de_Guevara', 'https://fr.wikipedia.org/wiki/Alonso_de_Castillo_Sol%C3%B3rzano', 'https://fr.wikipedia.org/wiki/Hans_Jakob_Christoffel_von_Grimmelshausen', 'https://fr.wikipedia.org/wiki/Alain-Ren%C3%A9_Lesage', 'https://fr.wikipedia.org/wiki/Daniel_Defoe', 'https://fr.wikipedia.org/wiki/Pierre_Carlet_de_Chamblain_de_Marivaux', 'https://fr.wikipedia.org/wiki/Henry_Fielding', 'https://fr.wikipedia.org/wiki/Jean_Potocki', 'https://fr.wikipedia.org/wiki/William_Makepeace_Thackeray', 'https://fr.wikipedia.org/wiki/Jack_Vance', 'https://fr.wikipedia.org/wiki/Jack_Kerouac', 'https://fr.wikipedia.org/wiki/Fr%C3%A9d%C3%A9rick_Tristan', 'https://fr.wikipedia.org/wiki/T._C._Boyle', 'https://fr.wikipedia.org/wiki/Arto_Paasilinna', 'https://fr.wikipedia.org/wiki/Mikho_Mossoulichvili', 'https://fr.wikipedia.org/wiki/Tobias_Smollett']"
8,baroque,"['https://fr.wikipedia.org/wiki/Agrippa_d%27Aubign%C3%A9', 'https://fr.wikipedia.org/wiki/Jean_de_Lannel', 'https://fr.wikipedia.org/wiki/Antoine-Andr%C3%A9_Mareschal', 'https://fr.wikipedia.org/wiki/Paul_Scarron', 'https://fr.wikipedia.org/wiki/Savinien_Cyrano_de_Bergerac']"
9,classique,"['https://fr.wikipedia.org/wiki/Moli%C3%A8re', 'https://fr.wikipedia.org/wiki/Jean_Racine', 'https://fr.wikipedia.org/wiki/Pierre_Corneille', 'https://fr.wikipedia.org/wiki/Jean_de_La_Fontaine', 'https://fr.wikipedia.org/wiki/Nicolas_Boileau']"
10,quietisme,"['https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Malaval', 'https://fr.wikipedia.org/wiki/Madame_Guyon', 'https://fr.wikipedia.org/wiki/F%C3%A9nelon', 'https://fr.wikipedia.org/wiki/Andr%C3%A9_Michel_Ramsay', 'https://fr.wikipedia.org/wiki/Jean-Pierre_de_Caussade']"
11,preciosite,['https://fr.wikipedia.org/wiki/Madeleine_de_Scud%C3%A9ry']
12,gothique,"['https://fr.wikipedia.org/wiki/Claudine_Gu%C3%A9rin_de_Tencin', 'https://fr.wikipedia.org/wiki/Horace_Walpole', 'https://fr.wikipedia.org/wiki/John_Aikin', 'https://fr.wikipedia.org/wiki/Clara_Reeve', 'https://fr.wikipedia.org/wiki/Sophia_Lee', 'https://fr.wikipedia.org/wiki/William_Thomas_Beckford', 'https://fr.wikipedia.org/wiki/Mary_Robinson_(po%C3%A8te)', 'https://fr.wikipedia.org/wiki/Mary_Ann_Radcliffe', 'https://fr.wikipedia.org/wiki/Eliza_Parsons', 'https://fr.wikipedia.org/wiki/Ann_Radcliffe', 'https://fr.wikipedia.org/wiki/Fanny_Burney', 'https://fr.wikipedia.org/wiki/Regina_Maria_Roche', 'https://fr.wikipedia.org/wiki/Brockden_Brown', 'https://fr.wikipedia.org/wiki/Charles_Robert_Maturin', 'https://fr.wikipedia.org/wiki/William_Harrison_Ainsworth', 'https://fr.wikipedia.org/wiki/Edgar_Allan_Poe', 'https://fr.wikipedia.org/wiki/Charlotte_Turner_Smith', 'https://fr.wikipedia.org/wiki/William_Godwin', 'https://fr.wikipedia.org/wiki/Matthew_Gregory_Lewis', 'https://fr.wikipedia.org/wiki/Francis_Lathom', 'https://fr.wikipedia.org/wiki/Charlotte_Dacre', 'https://fr.wikipedia.org/wiki/Mary_Shelley', 'https://fr.wikipedia.org/wiki/John_Polidori', 'https://fr.wikipedia.org/wiki/Washington_Irving', 'https://fr.wikipedia.org/wiki/James_Hogg', 'https://fr.wikipedia.org/wiki/Joseph_Sheridan_Le_Fanu', 'https://fr.wikipedia.org/wiki/Robert_Louis_Stevenson', 'https://fr.wikipedia.org/wiki/Bram_Stoker']"
13,preromantisme,"['https://fr.wikipedia.org/wiki/Fran%C3%A7ois-Thomas-Marie_de_Baculard_d%27Arnaud', 'https://fr.wikipedia.org/wiki/Pierre_Le_Tourneur', 'https://fr.wikipedia.org/wiki/Jacques-Henri_Bernardin_de_Saint-Pierre', 'https://fr.wikipedia.org/wiki/Louis-S%C3%A9bastien_Mercier', 'https://fr.wikipedia.org/wiki/Joseph_Marie_Loaisel_de_Tr%C3%A9ogate', 'https://fr.wikipedia.org/wiki/Louis_Ramond_de_Carbonni%C3%A8res', 'https://fr.wikipedia.org/wiki/Andr%C3%A9_Ch%C3%A9nier', 'https://fr.wikipedia.org/wiki/Germaine_de_Sta%C3%ABl', 'https://fr.wikipedia.org/wiki/Benjamin_Constant', 'https://fr.wikipedia.org/wiki/%C3%89tienne_Pivert_de_Senancour', 'https://fr.wikipedia.org/wiki/Auguste_Creuz%C3%A9_de_Lesser', 'https://fr.wikipedia.org/wiki/Charles_Nodier', 'https://fr.wikipedia.org/wiki/Fran%C3%A7ois-Ren%C3%A9_de_Chateaubriand']"
14,Lumieres,"['https://fr.wikipedia.org/wiki/Thomas_Jefferson', 'https://fr.wikipedia.org/wiki/Emmanuel_Kant', 'https://fr.wikipedia.org/wiki/Montesquieu', 'https://fr.wikipedia.org/wiki/Voltaire', 'https://fr.wikipedia.org/wiki/Adam_Smith', 'https://fr.wikipedia.org/wiki/Louis_de_Jaucourt', 'https://fr.wikipedia.org/wiki/Pierre_Bayle', 'https://fr.wikipedia.org/wiki/%C3%89milie_du_Ch%C3%A2telet', 'https://fr.wikipedia.org/wiki/%C3%89tienne_Bonnot_de_Condillac', 'https://fr.wikipedia.org/wiki/Denis_Diderot', 'https://fr.wikipedia.org/wiki/Jean_le_Rond_D%27Alembert', 'https://fr.wikipedia.org/wiki/Olympe_de_Gouges', 'https://fr.wikipedia.org/wiki/Vincent_de_Gournay', 'https://fr.wikipedia.org/wiki/D%27Holbach', 'https://fr.wikipedia.org/wiki/Bernard_Le_Bouyer_de_Fontenelle', 'https://fr.wikipedia.org/wiki/Claude-Adrien_Helv%C3%A9tius', 'https://fr.wikipedia.org/wiki/Gilbert_du_Motier_de_La_Fayette', 'https://fr.wikipedia.org/wiki/Antoine_Laurent_de_Lavoisier', 'https://fr.wikipedia.org/wiki/Julien_Offray_de_La_Mettrie', 'https://fr.wikipedia.org/wiki/Louis_de_Jaucourt', 'https://fr.wikipedia.org/wiki/Pierre_Choderlos_de_Laclos', 'https://fr.wikipedia.org/wiki/Marquis_de_Sade', 'https://fr.wikipedia.org/wiki/Pierre_Carlet_de_Chamblain_de_Marivaux', 'https://fr.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Marmontel', 'https://fr.wikipedia.org/wiki/Pierre_Louis_Moreau_de_Maupertuis', 'https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Quesnay', 'https://fr.wikipedia.org/wiki/Nicolas_Edme_Restif_de_La_Bretonne', 'https://fr.wikipedia.org/wiki/Antoine_Destutt_de_Tracy', 'https://fr.wikipedia.org/wiki/Anne_Robert_Jacques_Turgot', 'https://fr.wikipedia.org/wiki/Georges-Louis_Leclerc_de_Buffon', 'https://fr.wikipedia.org/wiki/Jean-Jacques_Rousseau']"
15,Naturalisme,"['/wiki/Paul_Alexis', '/wiki/Ludwig_Anzengruber', '/wiki/Henry_Becque', '/wiki/Paul_Bonnetain', '/wiki/Henry_C%C3%A9ard', '/wiki/Hermann_Conradi', '/wiki/Alphonse_Daudet', '/wiki/Lucien_Descaves', '/wiki/Louis_Marie_Desprez', '/wiki/Theodore_Dreiser', '/wiki/L%C3%A9on_Duvauchel', '/wiki/Fr%C3%A8res_Goncourt', '/wiki/Edmond_de_Goncourt', '/wiki/Jules_de_Goncourt', '/wiki/Gustave_Guiches', '/wiki/Carl_Hauptmann', '/wiki/L%C3%A9on_Hennique', '/wiki/Joris-Karl_Huysmans', '/wiki/Victor_Joze', '/wiki/Guy_de_Maupassant', '/wiki/Octave_Mirbeau', '/wiki/Jean_Richepin', '/wiki/Johannes_Schlaf', '/wiki/Jean_Viollis', '/wiki/Ernst_von_Wolzogen', '/wiki/%C3%89mile_Zola']"
16,Parnasse,"['https://fr.wikipedia.org/wiki/Th%C3%A9ophile_Gautier', 'https://fr.wikipedia.org/wiki/Th%C3%A9odore_de_Banville', 'https://fr.wikipedia.org/wiki/Leconte_de_Lisle', 'https://fr.wikipedia.org/wiki/Catulle_Mend%C3%A8s', 'https://fr.wikipedia.org/wiki/Sully_Prudhomme', 'https://fr.wikipedia.org/wiki/Jos%C3%A9-Maria_de_Heredia', 'https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Copp%C3%A9e', 'https://fr.wikipedia.org/wiki/L%C3%A9on_Dierx', 'https://fr.wikipedia.org/wiki/Louis_M%C3%A9nard', 'https://fr.wikipedia.org/wiki/Auguste_de_Villiers_de_L%27Isle-Adam']"
17,Ecole romane,"['https://fr.wikipedia.org/wiki/Jean_Mor%C3%A9as', 'https://fr.wikipedia.org/wiki/Charles_Maurras', 'https://fr.wikipedia.org/wiki/Maurice_du_Plessys', 'https://fr.wikipedia.org/wiki/Ernest_Raynaud', 'https://fr.wikipedia.org/wiki/Raymond_de_La_Tailh%C3%A8de']"
18,décadentisme,"['https://fr.wikipedia.org/wiki/Jules_Barbey_d%27Aurevilly', 'https://fr.wikipedia.org/wiki/Maurice_Rollinat', 'https://fr.wikipedia.org/wiki/Auguste_de_Villiers_de_l%27Isle-Adam', 'https://fr.wikipedia.org/wiki/Joris-Karl_Huysmans', 'https://fr.wikipedia.org/wiki/Jean_Mor%C3%A9as', 'https://fr.wikipedia.org/wiki/%C3%89l%C3%A9mir_Bourges', 'https://fr.wikipedia.org/wiki/Jules_Laforgue', 'https://fr.wikipedia.org/wiki/Henri_Beauclair', 'https://fr.wikipedia.org/wiki/Gabriel_Vicaire', 'https://fr.wikipedia.org/wiki/F%C3%A9licien_Champsaur', 'https://fr.wikipedia.org/wiki/Paul_Devaux', 'https://fr.wikipedia.org/wiki/Louis_Dumur', 'https://fr.wikipedia.org/wiki/Remy_de_Gourmont', 'https://fr.wikipedia.org/wiki/Jean_Bertheroy', 'https://fr.wikipedia.org/wiki/L%C3%A9on_Bloy', 'https://fr.wikipedia.org/wiki/Ren%C3%A9_Boylesve', 'https://fr.wikipedia.org/wiki/Marcel_Proust', 'https://fr.wikipedia.org/wiki/Pierre_Lou%C3%BFs', 'https://fr.wikipedia.org/wiki/Jean_Lorrain', 'https://fr.wikipedia.org/wiki/Jane_de_La_Vaud%C3%A8re', 'https://fr.wikipedia.org/wiki/Camille_Mauclair', 'https://fr.wikipedia.org/wiki/Octave_Mirbeau', 'https://fr.wikipedia.org/wiki/Hugues_Rebell', 'https://fr.wikipedia.org/wiki/Georges_Eekhoud', 'https://fr.wikipedia.org/wiki/Jean_Lorrain', 'https://fr.wikipedia.org/wiki/Henri_Barbusse', 'https://fr.wikipedia.org/wiki/Georges_Fourest', 'https://fr.wikipedia.org/wiki/Rachilde']"
19,absurde,"['https://fr.wikipedia.org/wiki/Albert_Camus', 'https://fr.wikipedia.org/wiki/Bertolt_Brecht', 'https://fr.wikipedia.org/wiki/Dino_Buzzati', 'https://fr.wikipedia.org/wiki/Eug%C3%A8ne_Ionesco', 'https://fr.wikipedia.org/wiki/Samuel_Beckett', 'https://fr.wikipedia.org/wiki/Fernando_Arrabal', 'https://fr.wikipedia.org/wiki/Jean_Genet']"
20,oulipo,"['https://fr.wikipedia.org/wiki/Raymond_Queneau', 'https://fr.wikipedia.org/wiki/Jean_Queval', 'https://fr.wikipedia.org/wiki/Albert-Marie_Schmidt', 'https://fr.wikipedia.org/wiki/Jean_Lescure_(%C3%A9crivain)', 'https://fr.wikipedia.org/wiki/Emmanuel_Peillet', 'https://fr.wikipedia.org/wiki/Jacques_Duchateau', 'https://fr.wikipedia.org/wiki/Claude_Berge', 'https://fr.wikipedia.org/wiki/Jacques_Bens', 'https://fr.wikipedia.org/wiki/No%C3%ABl_Arnaud']"
21,Courant de conscience,"['https://fr.wikipedia.org/wiki/James_Joyce', 'https://fr.wikipedia.org/wiki/Virginia_Woolf', 'https://fr.wikipedia.org/wiki/William_Faulkner', 'https://fr.wikipedia.org/wiki/Claude_Simon']"
22,proletarienne,"['https://fr.wikipedia.org/wiki/Henry_Poulaille', 'https://fr.wikipedia.org/wiki/Marc_Bernard', 'https://fr.wikipedia.org/wiki/Henri_Barbusse', 'https://fr.wikipedia.org/wiki/Marcel_Martinet', 'https://fr.wikipedia.org/wiki/Georges_Altman', 'https://fr.wikipedia.org/wiki/Francis_Andr%C3%A9_(auteur)', 'https://fr.wikipedia.org/wiki/Albert_Ayguesparse', 'https://fr.wikipedia.org/wiki/Marc_Bernard', 'https://fr.wikipedia.org/wiki/Eug%C3%A8ne_Dabit', 'https://fr.wikipedia.org/wiki/Georges_David', 'https://fr.wikipedia.org/wiki/Maurice_Fombeure', 'https://fr.wikipedia.org/wiki/Lucien_Gachon', 'https://fr.wikipedia.org/wiki/Pierre_Hubermont', 'https://fr.wikipedia.org/wiki/Constant_Malva', 'https://fr.wikipedia.org/wiki/Ludovic_Mass%C3%A9', 'https://fr.wikipedia.org/wiki/Charles_Plisnier', 'https://fr.wikipedia.org/wiki/%C3%89douard_Peisson', 'https://fr.wikipedia.org/wiki/Tristan_R%C3%A9my', 'https://fr.wikipedia.org/wiki/Victor_Serge', 'https://fr.wikipedia.org/wiki/Edmond_Vandercammen', 'https://fr.wikipedia.org/wiki/Magdeleine_Paz']"
23,existentialisme,"['https://fr.wikipedia.org/wiki/Jean-Paul_Sartre', 'https://fr.wikipedia.org/wiki/Gabriel_Marcel', 'https://fr.wikipedia.org/wiki/Jacques_Lavigne_(philosophe)', 'https://fr.wikipedia.org/wiki/Kierkegaard', 'https://fr.wikipedia.org/wiki/Paul_Tillich', 'https://fr.wikipedia.org/wiki/Gabriel_Marcel', 'https://fr.wikipedia.org/wiki/Emmanuel_Levinas', 'https://fr.wikipedia.org/wiki/Abdurrahm%C3%A2n_Badaw%C3%AE']"
24,objectivisme,"['https://fr.wikipedia.org/wiki/William_Carlos_Williams', 'https://fr.wikipedia.org/wiki/Louis_Zukofsky', 'https://fr.wikipedia.org/wiki/George_Oppen', 'https://fr.wikipedia.org/wiki/Charles_Reznikoff', 'https://fr.wikipedia.org/wiki/Carl_Rakosi', 'https://fr.wikipedia.org/wiki/Basil_Bunting']"
25,Ecole de Rochefort,"['/wiki/Jean_Bouhier_(po%C3%A8te)', '/wiki/Ren%C3%A9_Guy_Cadou', '/wiki/Michel_Manoll', '/wiki/Fernand_Marc', '/wiki/Marcel_B%C3%A9alu', '/wiki/Jean_Rousselot', '/wiki/Luc_B%C3%A9rimont', '/wiki/Jean_J%C3%A9goudez', '/wiki/Maurice_Fombeure', '/wiki/Yanette_Del%C3%A9tang-Tardif', '/w/index.php?title=F%C3%A9lix-Quentin_Caffiau&action=edit&redlink=1', '/wiki/Louis_%C3%89mi%C3%A9', '/wiki/Jean_Follain', '/wiki/Pierre_Garnier', '/wiki/Louis_Guillaume', '/wiki/Luc_Decaunes', '/wiki/Eug%C3%A8ne_Guillevic', '/wiki/Gabriel_Audisio_(romancier_et_po%C3%A8te)', '/wiki/Lucien_Becker', '/wiki/Alexandre_Toursky', '/wiki/Henri_de_Lesco%C3%ABt', '/wiki/Alain_Borne', '/wiki/Georges-Emmanuel_Clancier', '/wiki/Andr%C3%A9_Verdet', '/wiki/Charles_Autrand', '/wiki/Paul_Chaulot', '/wiki/Louis_Parrot', '/wiki/Roger_Toulouse', '/wiki/Serge_Wellens', '/wiki/Claude_Vaillant', '/wiki/Yves_Salgues', '/wiki/Gaston_Puel', '/wiki/Pierre_B%C3%A9arn', '/wiki/Andr%C3%A9_Marissel', '/wiki/Edmond_Humeau', '/wiki/Jean_L%27Anselme', '/wiki/Jean-Vincent_Verdonnet', '/wiki/Jean_Breton']"
26,Nouveau Roman,"['https://fr.wikipedia.org/wiki/Michel_Butor', 'https://fr.wikipedia.org/wiki/Alain_Robbe-Grillet', 'https://fr.wikipedia.org/wiki/Nathalie_Sarraute', 'https://fr.wikipedia.org/wiki/Claude_Simon', 'https://fr.wikipedia.org/wiki/Claude_Ollier', 'https://fr.wikipedia.org/wiki/Marguerite_Duras', 'https://fr.wikipedia.org/wiki/Jean_Ricardou']"
27,Realisme magique,"['https://fr.wikipedia.org/wiki/Miguel_%C3%81ngel_Asturias', 'https://fr.wikipedia.org/wiki/Carlos_Fuentes', 'https://fr.wikipedia.org/wiki/Juan_Rulfo', 'https://fr.wikipedia.org/wiki/Adolfo_Bioy_Casares', 'https://fr.wikipedia.org/wiki/Julio_Cort%C3%A1zar', 'https://fr.wikipedia.org/wiki/Jaime_S%C3%A1enz', 'https://fr.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Arguedas', 'https://fr.wikipedia.org/wiki/Manuel_Scorza', 'https://fr.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez']"
28,Négritude,"['https://fr.wikipedia.org/wiki/Paulette_Nardal', 'https://fr.wikipedia.org/wiki/Jeanne_Nardal', 'https://fr.wikipedia.org/wiki/Aim%C3%A9_C%C3%A9saire', 'https://fr.wikipedia.org/wiki/L%C3%A9opold_S%C3%A9dar_Senghor', 'https://fr.wikipedia.org/wiki/Jacques_Rabemananjara', 'https://fr.wikipedia.org/wiki/L%C3%A9on-Gontran_Damas', 'https://fr.wikipedia.org/wiki/Guy_Tirolien', 'https://fr.wikipedia.org/wiki/Birago_Diop', 'https://fr.wikipedia.org/wiki/Ren%C3%A9_Depestre']"
